word,count,prob
aahed,6355.5,1.0042104146041512e-07
aalii,6355.5,1.0042104146041512e-07
aargh,71592.0,1.1312002517872771e-06
aarti,63273.0,9.997546308433398e-07
abaca,79841.0,1.2615398271168286e-06
abaci,6355.5,1.0042104146041512e-07
aback,272920.0,4.312313843973959e-06
abacs,6355.5,1.0042104146041512e-07
abaft,19188.0,3.0318290355478645e-07
abaka,6355.5,1.0042104146041512e-07
abamp,6355.5,1.0042104146041512e-07
aband,6355.5,1.0042104146041512e-07
abase,29383.0,4.642705469642636e-07
abash,6355.5,1.0042104146041512e-07
abask,6355.5,1.0042104146041512e-07
abate,470646.0,7.436513488974673e-06
abaya,84401.0,1.3335907985682474e-06
abbas,1437558.0,2.2714353161789228e-05
abbed,6355.5,1.0042104146041512e-07
abbes,25330.0,4.0023050589132484e-07
abbey,4224864.0,6.675560426537884e-05
abbot,992552.0,1.5682968380712448e-05
abcee,6355.5,1.0042104146041512e-07
abeam,17316.0,2.736040836957829e-07
abear,6355.5,1.0042104146041512e-07
abele,62988.0,9.95251445127626e-07
abers,6355.5,1.0042104146041512e-07
abets,33014.0,5.216427130476194e-07
abhor,169167.0,2.6729488349829353e-06
abide,3722809.0,5.882280810922926e-05
abies,185002.0,2.9231521536086412e-06
abled,122479.0,1.9352480114908635e-06
abler,29740.0,4.699113795976313e-07
ables,252284.0,3.98625159685302e-06
ablet,6355.5,1.0042104146041512e-07
ablow,15776.0,2.492710801792949e-07
abmho,6355.5,1.0042104146041512e-07
abode,1246541.0,1.9696160088601578e-05
abohm,6355.5,1.0042104146041512e-07
aboil,6355.5,1.0042104146041512e-07
aboma,6355.5,1.0042104146041512e-07
aboon,6355.5,1.0042104146041512e-07
abord,82154.0,1.2980867343464628e-06
abore,6355.5,1.0042104146041512e-07
abort,1569892.0,2.480531659513398e-05
about,1226734006.0,0.019383196676489203
above,141894620.0,0.0022420274593706
abram,610831.0,9.651527838298612e-06
abray,13971.0,2.2075090397977496e-07
