ayrie|3|[12972, 37, 3, 1]
certy|3|[12972, 10, 8, 1]
stoae|3|[12972, 86, 9, 1]
gilet|4|[12972, 375, 46, 2, 1]
appel|3|[12972, 429, 4, 1]
flush|3|[12972, 79, 30, 1]
palpi|5|[12972, 726, 29, 4, 2, 1]
hound|3|[12972, 268, 3, 1]
blabs|6|[12972, 894, 132, 13, 7, 4, 1]
slags|6|[12972, 894, 132, 39, 9, 2, 1]
strig|4|[12972, 41, 3, 2, 1]
eches|2|[12972, 10, 1]
ottos|3|[12972, 343, 2, 1]
wauks|5|[12972, 726, 249, 80, 35, 1]
hoghs|6|[12972, 268, 68, 17, 6, 5, 1]
khuds|3|[12972, 268, 2, 1]
genua|4|[12972, 429, 93, 8, 1]
upset|3|[12972, 375, 13, 1]
rungs|4|[12972, 394, 4, 2, 1]
confs|6|[12972, 1621, 228, 36, 5, 4, 1]
mumus|5|[12972, 1621, 168, 7, 2, 1]
grouf|2|[12972, 394, 1]
pulps|5|[12972, 1621, 54, 14, 6, 1]
hinds|3|[12972, 268, 3, 1]
thein|4|[12972, 54, 9, 7, 1]
kyack|4|[12972, 894, 46, 4, 1]
fames|6|[12972, 344, 9, 8, 7, 6, 1]
bares|8|[12972, 66, 33, 9, 8, 7, 6, 5, 1]
ranis|4|[12972, 135, 85, 8, 1]
deeve|3|[12972, 1667, 3, 1]
octyl|3|[12972, 343, 3, 1]
sayer|8|[12972, 130, 62, 8, 7, 6, 5, 4, 1]
years|2|[12972, 218, 1]
demob|4|[12972, 1667, 29, 2, 1]
apian|4|[12972, 894, 99, 14, 1]
sputa|5|[12972, 68, 5, 4, 2, 1]
capot|6|[12972, 154, 16, 6, 5, 4, 1]
muter|6|[12972, 145, 59, 11, 3, 2, 1]
layer|4|[12972, 130, 62, 9, 1]
picas|4|[12972, 894, 9, 2, 1]
dryly|3|[12972, 394, 28, 1]
shell|4|[12972, 197, 27, 11, 1]
reefy|5|[12972, 676, 217, 32, 2, 1]
afear|6|[12972, 218, 59, 5, 3, 2, 1]
polka|4|[12972, 894, 16, 5, 1]
decko|4|[12972, 1667, 5, 2, 1]
serge|4|[12972, 260, 40, 2, 1]
topes|5|[12972, 375, 49, 6, 5, 1]
frore|6|[12972, 676, 34, 11, 5, 2, 1]
oxlip|4|[12972, 1621, 78, 16, 1]
defat|4|[12972, 86, 6, 3, 1]
hemin|3|[12972, 197, 5, 1]
demit|3|[12972, 375, 6, 1]
pipas|7|[12972, 894, 99, 30, 14, 6, 4, 1]
gnash|5|[12972, 34, 8, 4, 2, 1]
crick|5|[12972, 394, 28, 5, 2, 1]
ricin|4|[12972, 394, 23, 4, 1]
amort|4|[12972, 102, 3, 2, 1]
kyloe|3|[12972, 1667, 152, 1]
cubic|4|[12972, 1621, 168, 2, 1]
gaffs|6|[12972, 726, 249, 80, 4, 2, 1]
beath|5|[12972, 5, 4, 3, 2, 1]
zloty|3|[12972, 232, 4, 1]
dicks|4|[12972, 1621, 39, 2, 1]
alure|4|[12972, 218, 9, 3, 1]
apaid|3|[12972, 894, 180, 1]
minds|5|[12972, 1621, 39, 4, 3, 1]
debud|4|[12972, 1667, 72, 8, 1]
nooks|6|[12972, 1621, 228, 9, 8, 7, 1]
scand|4|[12972, 894, 46, 2, 1]
stend|5|[12972, 375, 14, 7, 2, 1]
kavas|9|[12972, 726, 249, 24, 13, 9, 8, 7, 2, 1]
malar|3|[12972, 135, 2, 1]
lamby|5|[12972, 726, 13, 5, 3, 1]
biali|4|[12972, 894, 132, 2, 1]
coits|7|[12972, 232, 37, 27, 20, 12, 6, 1]
skegg|6|[12972, 1667, 270, 9, 5, 4, 1]
basso|5|[12972, 726, 249, 80, 35, 1]
biach|3|[12972, 34, 4, 1]
raced|3|[12972, 130, 26, 1]
noily|4|[12972, 1621, 38, 8, 1]
bolts|4|[12972, 232, 37, 3, 1]
lotes|9|[12972, 375, 49, 7, 6, 5, 4, 3, 2, 1]
shaky|5|[12972, 149, 18, 12, 2, 1]
roums|4|[12972, 394, 22, 2, 1]
dodge|4|[12972, 1667, 8, 5, 1]
shivs|5|[12972, 268, 18, 3, 2, 1]
segno|4|[12972, 1667, 14, 2, 1]
mumms|5|[12972, 1621, 168, 7, 2, 1]
tined|5|[12972, 375, 46, 3, 2, 1]
scrow|2|[12972, 249, 1]
slain|4|[12972, 894, 132, 39, 1]
serra|4|[12972, 37, 18, 8, 1]
amowt|5|[12972, 192, 5, 4, 2, 1]
finos|6|[12972, 1621, 101, 12, 6, 2, 1]
dozen|4|[12972, 1667, 81, 2, 1]
sices|9|[12972, 1667, 86, 40, 6, 5, 4, 3, 2, 1]
yield|4|[12972, 1667, 13, 4, 1]
nudie|3|[12972, 1667, 9, 1]
swile|5|[12972, 1667, 111, 13, 2, 1]
prent|3|[12972, 145, 59, 1]
takky|6|[12972, 154, 35, 9, 7, 3, 1]
peart|4|[12972, 33, 15, 3, 1]
