heles|5|[12972, 57, 29, 3, 2, 1]
testa|5|[12972, 90, 4, 3, 2, 1]
talaq|6|[12972, 123, 51, 9, 5, 3, 1]
dumas|5|[12972, 288, 113, 7, 2, 1]
fails|3|[12972, 75, 27, 1]
toled|3|[12972, 128, 2, 1]
laevo|2|[12972, 8, 1]
laith|3|[12972, 36, 5, 1]
pudsy|5|[12972, 347, 11, 3, 2, 1]
pappi|4|[12972, 400, 163, 8, 1]
gaunt|5|[12972, 400, 163, 39, 2, 1]
rohes|9|[12972, 54, 30, 8, 7, 6, 5, 4, 3, 1]
eclat|3|[12972, 124, 2, 1]
dimly|3|[12972, 309, 4, 1]
colas|2|[12972, 104, 1]
flite|4|[12972, 247, 13, 2, 1]
flisk|3|[12972, 97, 2, 1]
vinas|6|[12972, 288, 113, 16, 3, 2, 1]
reefs|4|[12972, 98, 38, 5, 1]
kamas|7|[12972, 339, 216, 112, 50, 24, 2, 1]
gerle|3|[12972, 9, 3, 1]
cowan|4|[12972, 453, 67, 3, 1]
chams|9|[12972, 288, 64, 7, 6, 5, 4, 3, 2, 1]
nudes|5|[12972, 330, 152, 73, 4, 1]
joins|6|[12972, 757, 140, 74, 36, 4, 1]
bords|7|[12972, 132, 41, 30, 15, 10, 2, 1]
weigh|4|[12972, 571, 26, 2, 1]
peags|5|[12972, 77, 26, 11, 4, 1]
moble|4|[12972, 247, 35, 26, 1]
okras|2|[12972, 23, 1]
oldie|4|[12972, 247, 11, 2, 1]
topoi|4|[12972, 832, 184, 2, 1]
baaed|9|[12972, 124, 62, 36, 26, 13, 11, 8, 4, 1]
salvo|3|[12972, 27, 2, 1]
asyla|3|[12972, 67, 2, 1]
trigs|7|[12972, 164, 42, 5, 4, 3, 2, 1]
mythi|4|[12972, 832, 23, 2, 1]
horis|5|[12972, 132, 41, 30, 15, 1]
russe|3|[12972, 64, 13, 1]
malic|3|[12972, 123, 11, 1]
yipes|8|[12972, 330, 65, 52, 40, 24, 11, 6, 1]
scogs|5|[12972, 757, 47, 12, 4, 1]
rally|2|[12972, 8, 1]
alang|4|[12972, 258, 27, 3, 1]
widen|3|[12972, 371, 7, 1]
cotes|5|[12972, 330, 22, 5, 4, 1]
cosie|3|[12972, 245, 41, 1]
gugas|6|[12972, 288, 113, 33, 11, 4, 1]
swayl|4|[12972, 67, 10, 5, 1]
newts|5|[12972, 286, 49, 24, 3, 1]
fomes|8|[12972, 330, 15, 6, 5, 4, 3, 2, 1]
dusks|7|[12972, 757, 45, 11, 4, 3, 2, 1]
poupt|4|[12972, 832, 239, 4, 1]
toffs|6|[12972, 757, 140, 16, 6, 2, 1]
fovea|4|[12972, 35, 7, 6, 1]
staun|4|[12972, 168, 12, 2, 1]
kolos|4|[12972, 233, 29, 17, 1]
algor|3|[12972, 62, 9, 1]
wasms|4|[12972, 339, 21, 9, 1]
orbed|2|[12972, 287, 1]
drake|5|[12972, 166, 24, 16, 2, 1]
toaze|4|[12972, 219, 71, 8, 1]
paxes|9|[12972, 116, 85, 66, 43, 38, 22, 3, 2, 1]
urali|2|[12972, 62, 1]
tonic|4|[12972, 832, 55, 2, 1]
rupee|4|[12972, 287, 52, 14, 1]
boobs|3|[12972, 757, 5, 1]
flexi|4|[12972, 247, 22, 3, 1]
tazze|6|[12972, 74, 46, 19, 10, 3, 1]
disme|4|[12972, 245, 41, 2, 1]
nosed|4|[12972, 96, 12, 8, 1]
bever|5|[12972, 287, 96, 50, 2, 1]
ogles|3|[12972, 57, 29, 1]
goads|5|[12972, 288, 64, 13, 7, 1]
rules|2|[12972, 4, 1]
logoi|2|[12972, 59, 1]
delfs|7|[12972, 99, 28, 21, 12, 3, 2, 1]
jesse|4|[12972, 245, 40, 9, 1]
cacky|6|[12972, 400, 96, 4, 3, 2, 1]
pyats|6|[12972, 288, 18, 11, 6, 5, 1]
nippy|4|[12972, 832, 184, 2, 1]
toits|6|[12972, 757, 140, 19, 13, 2, 1]
sorta|3|[12972, 30, 6, 1]
gooky|6|[12972, 832, 239, 42, 5, 2, 1]
yauld|2|[12972, 123, 1]
fadge|5|[12972, 74, 46, 5, 3, 1]
finny|6|[12972, 832, 184, 28, 10, 3, 1]
kikes|10|[12972, 330, 65, 52, 40, 6, 5, 4, 3, 2, 1]
deshi|3|[12972, 245, 2, 1]
romal|3|[12972, 62, 4, 1]
legge|4|[12972, 46, 4, 2, 1]
piend|3|[12972, 571, 3, 1]
noggs|5|[12972, 757, 140, 74, 36, 1]
lemur|2|[12972, 6, 1]
niner|7|[12972, 287, 96, 11, 4, 3, 2, 1]
cones|7|[12972, 330, 152, 45, 6, 5, 4, 1]
uveas|5|[12972, 77, 8, 3, 2, 1]
gaids|4|[12972, 339, 33, 2, 1]
wauks|6|[12972, 339, 216, 112, 50, 5, 1]
minis|5|[12972, 757, 250, 28, 7, 1]
flosh|3|[12972, 97, 5, 1]
shrug|5|[12972, 55, 18, 5, 2, 1]
filed|3|[12972, 128, 46, 1]
wools|6|[12972, 233, 9, 8, 7, 6, 1]
rumen|4|[12972, 287, 52, 4, 1]
paper|3|[12972, 90, 45, 1]
swoln|4|[12972, 97, 10, 2, 1]
goier|8|[12972, 287, 41, 27, 18, 4, 3, 2, 1]
pareo|7|[12972, 28, 26, 11, 10, 4, 3, 1]
owner|5|[12972, 287, 8, 5, 4, 1]
acnes|5|[12972, 20, 15, 9, 2, 1]
realo|4|[12972, 21, 5, 2, 1]
ricey|5|[12972, 287, 52, 14, 12, 1]
palsa|3|[12972, 27, 3, 1]
faugh|5|[12972, 400, 49, 5, 2, 1]
busky|6|[12972, 347, 23, 13, 3, 2, 1]
forgo|4|[12972, 121, 6, 4, 1]
