agrin|4|[12972, 246, 9, 2, 1]
pully|9|[12972, 734, 26, 7, 6, 5, 4, 3, 2, 1]
patka|5|[12972, 1516, 169, 14, 3, 1]
yorks|3|[12972, 381, 6, 1]
adder|4|[12972, 2149, 68, 2, 1]
azoth|4|[12972, 2149, 157, 7, 1]
yauds|3|[12972, 80, 9, 1]
sargo|4|[12972, 1516, 7, 2, 1]
devon|4|[12972, 417, 15, 3, 1]
dools|4|[12972, 4863, 70, 2, 1]
gemel|5|[12972, 4863, 71, 18, 5, 1]
emoji|3|[12972, 4863, 61, 1]
repro|3|[12972, 4863, 56, 1]
firie|4|[12972, 4863, 42, 2, 1]
grame|7|[12972, 2149, 37, 16, 4, 3, 2, 1]
accas|6|[12972, 2149, 117, 13, 4, 2, 1]
latch|4|[12972, 1516, 16, 2, 1]
reach|4|[12972, 2149, 8, 2, 1]
tying|5|[12972, 20, 4, 3, 2, 1]
micht|3|[12972, 4863, 105, 1]
fones|10|[12972, 451, 21, 8, 7, 6, 5, 4, 3, 2, 1]
panga|7|[12972, 170, 52, 8, 4, 3, 2, 1]
muton|5|[12972, 417, 19, 5, 2, 1]
hulky|5|[12972, 734, 35, 6, 2, 1]
nuder|3|[12972, 145, 15, 1]
rally|3|[12972, 196, 2, 1]
wands|6|[12972, 170, 10, 6, 5, 4, 1]
gummy|5|[12972, 734, 160, 37, 3, 1]
taupe|4|[12972, 1516, 51, 17, 1]
luffa|4|[12972, 2149, 14, 3, 1]
ponga|7|[12972, 101, 17, 5, 4, 3, 2, 1]
blaes|4|[12972, 2149, 3, 2, 1]
khoja|4|[12972, 2149, 157, 2, 1]
